STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,DAMAGE_PROPERTY,STORM_AREA_SQMILES,DURATION_MINUTES,MONTH
KANSAS,APRIL,Thunderstorm Wind,WABAUNSEE,0.0,0.0,1,4
KANSAS,APRIL,Thunderstorm Wind,SHAWNEE,0.0,0.0,1,4
KANSAS,APRIL,Hail,GEARY,0.0,0.0,1,4
KANSAS,APRIL,Hail,GEARY,0.0,0.0,1,4
KANSAS,APRIL,Hail,GEARY,0.0,0.0,1,4
KANSAS,APRIL,Thunderstorm Wind,SHAWNEE,0.0,0.0,1,4
KANSAS,APRIL,Thunderstorm Wind,MORRIS,0.0,0.0,1,4
KANSAS,APRIL,Thunderstorm Wind,REPUBLIC,0.0,0.0,1,4
KANSAS,APRIL,Hail,REPUBLIC,0.0,0.0,1,4
KANSAS,APRIL,Thunderstorm Wind,CLOUD,0.0,0.0,1,4
KANSAS,APRIL,Hail,ANDERSON,0.0,0.0,1,4
KANSAS,APRIL,Hail,MARSHALL,0.0,0.0,1,4
KANSAS,APRIL,Thunderstorm Wind,MORRIS,0.0,0.0,1,4
KANSAS,APRIL,Hail,MARSHALL,0.0,0.0,1,4
KANSAS,APRIL,Hail,GEARY,0.0,0.0,1,4
KANSAS,APRIL,Hail,GEARY,0.0,0.0,1,4
KANSAS,APRIL,Hail,GEARY,0.0,0.0,1,4
NEW HAMPSHIRE,JULY,Thunderstorm Wind,HILLSBOROUGH,0.0,0.0,5,7
KANSAS,APRIL,Hail,POTTAWATOMIE,0.0,0.0,1,4
KANSAS,APRIL,Hail,POTTAWATOMIE,0.0,0.0,1,4
KANSAS,APRIL,Hail,GEARY,0.0,0.0,1,4
KANSAS,APRIL,Hail,GEARY,0.0,0.0,1,4
KANSAS,APRIL,Thunderstorm Wind,GEARY,0.0,0.0,1,4
KANSAS,APRIL,Hail,GEARY,0.0,0.0,1,4
KANSAS,APRIL,Thunderstorm Wind,RILEY,0.0,0.0,1,4
KANSAS,APRIL,Hail,JEFFERSON,0.0,0.0,1,4
KANSAS,APRIL,Hail,MARSHALL,0.0,0.0,1,4
KANSAS,APRIL,Hail,NEMAHA,0.0,0.0,1,4
KANSAS,APRIL,Hail,MARSHALL,0.0,0.0,1,4
KANSAS,APRIL,Hail,GEARY,0.0,0.0,1,4
NEBRASKA,JULY,Hail,PLATTE,,0.0,0,7
