FIPS,COASTAL_TYPE_SHORELINE,COASTAL_TYPE_WATERSHED
51059,shoreline,watershed
51061,inland,watershed
51065,inland,watershed
51073,shoreline,watershed
51075,inland,watershed
51085,shoreline,watershed
51087,shoreline,watershed
51093,shoreline,watershed
51095,shoreline,watershed
51097,shoreline,watershed
51099,shoreline,watershed
51101,shoreline,watershed
51103,shoreline,watershed
51109,inland,watershed
51115,shoreline,watershed
51119,shoreline,watershed
51127,shoreline,watershed
51131,shoreline,watershed
51133,shoreline,watershed
51135,inland,watershed
51137,inland,watershed
51145,inland,watershed
51147,inland,watershed
51149,shoreline,watershed
51153,shoreline,watershed
51159,shoreline,watershed
51177,shoreline,watershed
51179,shoreline,watershed
51181,shoreline,watershed
51193,shoreline,watershed
51199,shoreline,watershed
51510,shoreline,watershed
51550,shoreline,watershed
51570,inland,watershed
51600,inland,watershed
51610,inland,watershed
51630,inland,watershed
51650,shoreline,watershed
51670,shoreline,watershed
51683,inland,watershed
51685,inland,watershed
51700,shoreline,watershed
51710,shoreline,watershed
51730,inland,watershed
51735,shoreline,watershed
51740,shoreline,watershed
51760,inland,watershed
51800,shoreline,watershed
51810,shoreline,watershed
51830,shoreline,watershed
53009,shoreline,watershed
53011,inland,watershed
53015,inland,watershed
53027,shoreline,watershed
53029,shoreline,watershed
53031,shoreline,watershed
53033,shoreline,watershed
53035,shoreline,watershed
53041,inland,watershed
53045,shoreline,watershed
53049,shoreline,watershed
53053,shoreline,watershed
53055,shoreline,watershed
53057,shoreline,watershed
53059,inland,watershed
53061,shoreline,watershed
53067,shoreline,watershed
53069,shoreline,watershed
53073,shoreline,watershed
55003,shoreline,watershed
55007,shoreline,watershed
55009,shoreline,watershed
55015,inland,watershed
55029,shoreline,watershed
55031,shoreline,watershed
55037,inland,watershed
55039,inland,watershed
55041,inland,watershed
55051,shoreline,watershed
55059,shoreline,watershed
55061,shoreline,watershed
55071,shoreline,watershed
55075,shoreline,watershed
55078,inland,watershed
55079,shoreline,watershed
55083,shoreline,watershed
55087,inland,watershed
55089,shoreline,watershed
55101,shoreline,watershed
55115,inland,watershed
55117,shoreline,watershed
55131,inland,watershed
60010,shoreline,watershed
60020,shoreline,watershed
60030,inland,watershed
60040,inland,watershed
60050,shoreline,watershed
66010,shoreline,watershed
69085,shoreline,watershed
69100,shoreline,watershed
69110,shoreline,watershed
69120,shoreline,watershed
72001,inland,watershed
72003,shoreline,watershed
72005,shoreline,watershed
72007,inland,watershed
72009,inland,watershed
72011,shoreline,watershed
72013,shoreline,watershed
72015,shoreline,watershed
72017,shoreline,watershed
72019,inland,watershed
72021,shoreline,watershed
72023,shoreline,watershed
72025,inland,watershed
72027,shoreline,watershed
72029,inland,watershed
72031,shoreline,watershed
72033,shoreline,watershed
72035,inland,watershed
72037,shoreline,watershed
72039,inland,watershed
72041,inland,watershed
72043,inland,watershed
72045,inland,watershed
72047,inland,watershed
72049,shoreline,watershed
72051,shoreline,watershed
72053,shoreline,watershed
72054,inland,watershed
72055,shoreline,watershed
72057,shoreline,watershed
72059,shoreline,watershed
72061,shoreline,watershed
72063,inland,watershed
72065,shoreline,watershed
72067,inland,watershed
72069,shoreline,watershed
72071,shoreline,watershed
72073,inland,watershed
72075,shoreline,watershed
72077,inland,watershed
72079,shoreline,watershed
72081,inland,watershed
72083,inland,watershed
72085,inland,watershed
72087,shoreline,watershed
72089,shoreline,watershed
72091,shoreline,watershed
72093,inland,watershed
72095,shoreline,watershed
72097,shoreline,watershed
72099,inland,watershed
72101,inland,watershed
72103,shoreline,watershed
72105,inland,watershed
72107,inland,watershed
72109,shoreline,watershed
72111,shoreline,watershed
72113,shoreline,watershed
72115,shoreline,watershed
72117,shoreline,watershed
72119,shoreline,watershed
72121,inland,watershed
72123,shoreline,watershed
72125,inland,watershed
72127,shoreline,watershed
72129,inland,watershed
72131,inland,watershed
72133,shoreline,watershed
72135,inland,watershed
72137,shoreline,watershed
72139,inland,watershed
72141,inland,watershed
72143,shoreline,watershed
72145,shoreline,watershed
72147,shoreline,watershed
72149,inland,watershed
72151,shoreline,watershed
72153,shoreline,watershed
78010,shoreline,watershed
78020,shoreline,watershed
78030,shoreline,watershed
