FIPS,POPULATION
01001,11394
01001,24990
01001,6511
01001,690
01001,8026
01001,2346
01001,30857
01001,24774
01001,4839
01001,340711
01001,9921
01001,969029
01001,326296
01001,174983
01001,452303
01001,95829
01001,112848
01001,566803
01001,279025
01001,621232
01001,185043
01001,573030
01001,247799
01001,672079
01001,281751
01001,28186
01001,181368
01001,27888
01001,620533
01001,1946127
01001,13593
01001,195083
01001,158693
01001,223436
01001,387681
01001,70755
01001,34719
01001,16952
01001,1007189
01001,323275
01001,121710
01001,12418
01001,43642
01001,18494
01001,12324
01001,14772
01001,13445
01001,25508
01001,40798
01001,201512
01001,103808
01001,1489634
01001,19626
01001,163856
01001,47652
01001,14713
01001,8035
01001,398696
01001,792692
01001,295335
01001,44276
01001,7650
01001,18113
01001,416020
01001,387697
01001,160464
01001,2685296
01001,81840
01001,94653
01001,214281
01001,40249
01001,1440471
01001,406943
01001,1507453
01001,588758
01001,960565
01001,760961
01001,74235
01001,292243
01001,346237
01001,193719
01001,449011
01001,474912
01001,137536
01001,44484
01001,21422
01001,15551
01001,568229
01001,34608
01001,79846
01001,25259
01001,18426
01001,8261
01001,11129
01001,2830
01001,43669
01001,18757
01001,86982
01001,111153
01001,17138
01001,18257
01001,156543
01001,12414
01001,18171
01001,16285
01001,46681
01001,81372
01001,24427
01001,26074
01001,5528
01001,56036
01001,10972
01001,122187
01001,68356
01001,12711
01001,298143
01001,9181
01001,24975
01001,274539
01001,129267
01001,2853
01001,298771
01001,6722
01001,769152
01001,43161
01001,45907
01001,159638
01001,17363
01001,150071
01001,12183
01001,19995
01001,16196
01001,28704
01001,29118
01001,762105
01001,19909
01001,11026
01001,83915
01001,146141
01001,10683
01001,3705
01001,67265
01001,19725
01001,22961
01001,10740
01001,25605
01001,120689
01001,98985
01001,260062
01001,23840
01001,1068507
01001,31976
01001,2913
01001,84987
01001,58336
01001,26056
01001,19586
01001,966972
01001,46948
01001,208395
01001,8630
01001,30720
01001,35509
01001,26484
01001,11616
01001,245417
01001,166902
01001,9385
01001,80640
01001,15345
01001,14838
01001,15468
01001,8674
01001,9192
01001,28526
01001,19098
01001,10094
01001,49619
01001,33337
01001,66826
01001,7773
01001,17512
01001,119055
01001,33931
01001,21687
01001,11187
01001,11953
01001,30914
01001,7474
01001,20757
01001,5873
01001,21441
01001,28919
01001,8675
01001,20614
01001,40282
01001,204383
01001,115530
01001,42788
01001,15221
01001,174292
01001,28269
01001,34197
01001,19996
01001,19540
01001,43365
01001,9893
01001,22524
01001,2092
01001,17107
01001,6270
01001,206040
01001,94293
01001,4539
01001,14057
01001,9117
01001,68215
01001,26842
01001,4978
01001,29174
01001,5753
01001,1740
01001,24215
01001,7786
01001,12174
01001,8941
01001,45696
01001,41322
01001,26943
01001,12739
01001,6387
01001,69821
01001,8915
01001,7869
01001,25598
01001,27856
01001,68449
01001,100361
01001,35958
01001,5175
01001,19893
01001,30519
01001,2348
01001,7434
01001,28454
01001,103118
01001,8784
01001,9553
01001,8795
01001,20575
01001,203684
01001,1003666
01001,43
01001,73610
01001,164632
01001,508052
01001,4599
01001,88457
01001,6552
01001,9913
01001,48993
01001,24579
01001,8045
01001,49456
01001,127056
01001,12695
01001,2654
01001,1155
01001,242405
01001,7118
01001,25165
01001,776
01001,8921
01001,4411
01001,29046
01001,14715
01001,13701
01001,19854
01001,15740
01001,17120
01001,32234
01001,24788
01001,177736
01001,40315
01001,8166
01001,3649
01001,5276
01001,53578
01001,21922
01001,42477
01001,4681
01001,12284
01001,26190
01001,8018
01001,13580
01001,12101
01001,92121
01001,12136
01001,10866
01001,65166
01001,5042
01001,16627
01001,53316
01001,6320
01001,33027
01001,4406
01001,15621
01001,12826
01001,206098
01001,33684
01001,15328
01001,13173
01001,36899
01001,46689
01001,5185812
01001,18588
01001,10378
01001,100512
01001,15461
01001,19686
01001,927263
01001,16637
01001,6118
01001,34505
01001,21380
01001,13396
01001,37541
01001,33259
01001,4857
01001,11837
01001,52920
01001,7972
