FIPS,POPULATION
31109,323673
31111,34122
31113,812
31115,564
31117,463
31119,35535
31121,7696
31123,4544
31125,3342
31127,7035
31129,4089
31131,16075
31133,2539
31135,2835
31137,8983
31139,7312
31141,34358
31143,5209
31145,10611
31147,7797
31149,1335
31151,14642
31153,194051
31155,22761
31157,35937
31159,17636
31161,5058
31163,2974
31165,1197
31167,5835
31169,4938
31171,626
31173,6666
31175,4094
31177,20989
31179,9786
31181,3385
31183,785
31185,14231
32001,25614
32003,2293764
32005,49624
32007,53852
32009,962
32011,1660
32013,17299
32015,5745
32017,4452
32019,60630
32021,4557
32023,53207
32027,6505
32029,4139
32031,491770
32033,8856
32510,58364
33001,64300
33003,51259
33005,76945
33007,31386
33009,91759
33011,424732
33013,155018
33015,317163
33017,131743
33019,43529
34001,274704
34003,954717
34005,464226
34007,524042
34009,95236
34011,152915
34013,854130
34015,304504
34017,710478
34019,129448
34021,383286
34023,861535
34025,643615
34027,510375
34029,646434
34031,518289
34033,64973
34035,346203
34037,145117
34039,572549
34041,110238
35001,674357
35003,3685
35005,64446
35006,27059
35007,12336
35009,47932
35011,1580
35013,221665
35015,61114
35017,27856
35019,4379
35021,748
35023,4097
35025,73154
35027,20227
35028,19374
35029,25420
35031,71172
35033,4176
35035,68235
35037,8616
35039,40165
35041,19002
35043,151538
35045,121178
35047,27036
35049,155175
35051,11511
35053,16308
35055,34516
35057,15290
35059,4039
35061,77382
36001,315374
36003,47027
36005,1419250
36007,197738
36009,76479
36011,75464
36013,126329
36015,82805
36017,46685
36019,78961
36021,61245
36023,46401
36025,44551
36027,297144
36029,950044
36031,37077
36033,47066
36035,52787
36037,57943
36039,47554
36041,5102
36043,59932
36045,116130
36047,2646306
36049,26618
36051,61588
36053,67572
36055,754068
36057,49461
36059,1388138
36061,1627788
36063,211341
36065,229645
36067,471611
36069,112405
36071,403840
36073,39686
36075,117945
36077,59738
36079,97988
36081,2330124
36083,160341
36085,492734
36087,338936
36089,107796
36091,237075
36093,159603
36095,29979
36097,17749
36099,33125
36101,93034
36103,1525680
36105,79147
