TEMPERATURE_F,ANOMALY,MONTH,FIPS
22.4,8.9,1,19191
21.8,4.6,1,19193
19.7,6.8,1,19195
20.5,5.5,1,19197
37.4,7.0,1,20001
36.0,6.6,1,20003
32.7,6.8,1,20005
37.3,5.9,1,20007
32.3,3.8,1,20009
38.0,7.4,1,20011
31.1,6.4,1,20013
36.3,6.3,1,20015
34.3,5.9,1,20017
38.3,5.9,1,20019
40.4,7.5,1,20021
26.5,-0.6,1,20023
36.9,5.0,1,20025
32.0,5.6,1,20027
31.6,5.6,1,20029
36.9,7.7,1,20031
37.0,5.5,1,20033
37.8,6.2,1,20035
38.9,7.2,1,20037
27.6,1.6,1,20039
33.5,6.0,1,20041
31.8,6.3,1,20043
34.5,6.6,1,20045
34.5,4.8,1,20047
37.2,5.9,1,20049
30.9,3.0,1,20051
33.6,5.5,1,20053
31.0,2.1,1,20055
34.0,3.8,1,20057
35.4,6.8,1,20059
33.3,6.2,1,20061
29.5,1.5,1,20063
29.4,2.0,1,20065
32.8,2.3,1,20067
32.6,2.8,1,20069
28.8,0.6,1,20071
36.4,6.6,1,20073
31.1,1.5,1,20075
38.2,6.5,1,20077
35.7,6.2,1,20079
32.6,2.4,1,20081
32.8,3.1,1,20083
32.1,6.5,1,20085
33.4,6.6,1,20087
30.5,5.9,1,20089
34.8,7.0,1,20091
31.7,2.5,1,20093
36.3,5.7,1,20095
35.7,5.2,1,20097
39.1,6.4,1,20099
30.0,1.7,1,20101
34.4,7.3,1,20103
32.6,5.6,1,20105
36.7,7.0,1,20107
28.9,0.9,1,20109
35.0,6.9,1,20111
34.6,6.2,1,20113
34.8,6.4,1,20115
29.5,5.0,1,20117
35.6,3.8,1,20119
35.6,7.0,1,20121
31.2,5.2,1,20123
38.7,6.0,1,20125
33.7,6.4,1,20127
33.8,1.8,1,20129
30.1,5.8,1,20131
38.2,6.6,1,20133
31.1,2.1,1,20135
27.9,2.0,1,20137
35.0,6.9,1,20139
30.8,4.3,1,20141
32.5,5.5,1,20143
33.1,4.0,1,20145
29.0,3.0,1,20147
31.7,5.9,1,20149
35.9,5.7,1,20151
27.8,1.2,1,20153
35.2,5.4,1,20155
30.6,6.1,1,20157
34.0,5.1,1,20159
32.2,5.8,1,20161
30.0,2.9,1,20163
31.6,3.1,1,20165
32.0,4.4,1,20167
33.4,5.6,1,20169
30.1,1.9,1,20171
36.8,6.3,1,20173
34.6,3.0,1,20175
33.6,6.4,1,20177
28.7,1.7,1,20179
26.4,-0.7,1,20181
29.3,4.0,1,20183
34.1,4.8,1,20185
32.7,1.8,1,20187
33.7,2.2,1,20189
38.2,6.6,1,20191
28.0,1.1,1,20193
30.3,2.0,1,20195
33.6,6.7,1,20197
27.9,0.0,1,20199
29.6,4.9,1,20201
29.7,1.5,1,20203
38.2,6.5,1,20205
37.7,7.4,1,20207
34.8,7.4,1,20209
43.4,9.2,1,21001
44.8,9.2,1,21003
41.9,9.7,1,21005
42.8,8.9,1,21007
44.1,9.0,1,21009
41.6,9.0,1,21011
41.5,6.8,1,21013
39.0,8.9,1,21015
41.6,9.9,1,21017
41.0,8.3,1,21019
42.2,9.3,1,21021
40.1,9.3,1,21023
42.9,8.3,1,21025
41.4,8.7,1,21027
41.8,9.0,1,21029
44.8,10.3,1,21031
43.9,9.5,1,21033
43.5,7.7,1,21035
39.2,8.6,1,21037
43.3,8.9,1,21039
41.0,10.0,1,21041
40.6,8.5,1,21043
42.3,8.9,1,21045
44.5,9.3,1,21047
42.1,9.7,1,21049
42.6,7.7,1,21051
43.9,8.6,1,21053
43.0,9.5,1,21055
44.4,8.8,1,21057
41.7,8.5,1,21059
44.3,9.8,1,21061
41.2,8.5,1,21063
42.6,8.7,1,21065
42.1,10.2,1,21067
40.8,8.9,1,21069
42.7,7.8,1,21071
41.7,9.8,1,21073
43.4,8.1,1,21075
40.8,9.8,1,21077
42.4,9.1,1,21079
40.4,9.6,1,21081
43.3,8.4,1,21083
43.1,9.8,1,21085
43.5,9.5,1,21087
40.1,8.4,1,21089
41.0,7.9,1,21091
42.1,9.4,1,21093
40.1,6.6,1,21095
41.3,9.9,1,21097
43.6,9.6,1,21099
41.7,8.7,1,21101
40.7,9.6,1,21103
43.4,8.5,1,21105
44.2,9.9,1,21107
41.9,8.1,1,21109
41.1,8.7,1,21111
42.5,10.0,1,21113
42.1,8.3,1,21115
39.0,8.7,1,21117
42.0,7.5,1,21119
42.6,7.4,1,21121
42.6,9.6,1,21123
42.3,7.6,1,21125
41.7,8.4,1,21127
42.8,8.4,1,21129
42.0,7.4,1,21131
40.7,6.5,1,21133
40.2,8.8,1,21135
41.9,8.7,1,21137
42.8,9.0,1,21139
44.5,9.2,1,21141
43.6,8.7,1,21143
43.2,9.2,1,21145
42.4,7.4,1,21147
43.5,9.8,1,21149
42.4,9.0,1,21151
42.3,8.4,1,21153
42.5,9.3,1,21155
43.3,8.2,1,21157
42.6,8.1,1,21159
40.1,9.2,1,21161
41.0,8.7,1,21163
41.8,8.8,1,21165
42.4,9.8,1,21167
43.5,9.0,1,21169
44.1,8.6,1,21171
41.7,9.4,1,21173
41.9,8.6,1,21175
44.9,10.3,1,21177
42.0,9.1,1,21179
41.1,9.5,1,21181
43.6,9.9,1,21183
39.9,8.7,1,21185
41.1,9.9,1,21187
42.8,8.0,1,21189
40.4,9.4,1,21191
42.2,7.5,1,21193
42.6,7.6,1,21195
42.3,8.9,1,21197
42.6,8.2,1,21199
40.8,9.6,1,21201
42.0,8.2,1,21203
