FIPS,MEDIAN_INCOME
31117,61316
31119,64637
31121,62849
31123,59773
31125,65438
31127,60132
31129,70201
31131,81430
31133,54926
31135,67500
31137,65988
31139,75938
31141,72335
31143,71771
31145,60000
31147,55578
31149,57500
31151,77027
31153,101402
31155,89395
31157,60960
31159,81122
31161,56900
31163,61935
31165,54076
31167,78275
31169,63095
31171,72708
31173,64838
31175,58902
31177,90188
31179,67687
31181,65197
31183,55893
31185,74058
32001,73268
32003,73845
32005,88018
32007,83427
32011,73095
32013,79946
32015,84474
32017,69496
32019,73460
32021,50584
32023,55975
32027,72007
32029,96000
32031,85600
32033,72294
32510,71809
33001,87983
33003,82961
33005,81001
33007,58439
33009,84021
33011,100436
33013,93944
33015,113927
33017,86564
33019,75929
34001,76819
34003,123715
34005,105271
34007,86384
34009,88046
34011,64499
34013,76712
34015,102807
34017,90032
34019,139453
34021,96333
34023,109028
34025,122727
34027,134929
34029,86411
34031,87137
34033,78412
34035,135960
34037,114316
34039,100117
34041,99596
35001,66514
35003,46439
35005,52029
35006,51765
35007,52690
35009,56259
35011,40804
35013,55663
35015,79605
35017,45921
35019,40149
35021,41250
35023,49076
35025,68750
35027,51643
35028,143188
35029,37917
35031,44496
35033,50178
35035,52717
35037,43698
35039,53901
35041,52445
35043,84053
35045,53020
35047,47400
35049,74689
35051,37840
35053,47556
35055,58908
35057,46250
35059,45319
35061,58333
36001,83149
36003,61233
36005,49036
36007,61059
36009,58248
36011,66583
36013,56507
36015,63469
36017,62093
36019,69208
36021,83619
36023,67527
36025,60226
36027,97273
36029,71175
36031,70215
36033,63747
36035,62615
36037,72055
36039,74011
36041,68950
36043,68858
36045,64978
36047,78548
36049,68329
36051,72464
36053,73141
36055,74409
36057,62923
36059,143408
36061,104553
36063,67809
36065,68819
36067,74740
36069,79814
36071,96497
36073,63838
36075,68461
36077,67086
36079,127405
36081,84961
36083,86663
36085,98290
36087,110631
36089,61900
36091,99653
36093,76989
36095,71188
36097,65625
36099,66007
36101,64740
36103,128329
36105,69826
36107,71791
36109,73012
36111,81804
36113,78239
36115,72342
36117,73914
36119,118411
36121,68913
36123,67521
37001,64445
37003,65268
37005,44272
37007,44245
37009,50827
37011,57657
37013,57997
37015,45931
37017,44528
37019,74034
37021,70578
37023,55684
37025,86084
37027,55401
37029,87781
37031,70235
37033,59407
37035,64544
37037,88534
37039,51496
37041,56982
37043,53645
37045,55769
37047,48184
37049,64635
37051,58780
37053,91548
37055,81214
37057,62426
37059,73234
37061,51880
37063,79501
37065,48480
37067,65541
37069,71386
37071,65472
37073,61612
37075,49038
37077,70975
37079,50904
37081,66027
37083,45071
37085,69012
37087,61001
37089,67623
37091,47472
37093,60095
37095,47338
37097,78678
37099,53479
37101,79838
37103,55659
37105,63060
37107,44795
37109,78490
37111,55527
37113,53298
37115,58628
37117,46793
37119,83765
37121,58089
37123,55849
37125,82837
37127,60704
37129,72892
37131,47935
37133,64568
37135,88553
37137,61624
37139,63912
37141,76838
37143,61224
37145,64927
37147,58851
37149,61005
37151,59047
37153,43626
37155,40318
37157,55796
37159,63196
37161,49771
37163,53159
37165,43500
37167,61631
37169,60039
37171,56095
37173,55429
37175,64523
37177,43952
37179,99243
37181,46943
37183,101763
37185,45279
37187,41750
37189,51367
37191,58082
37193,50438
37195,51381
37197,60321
37199,54961
